BMI_714_Variable_Name,Variable_Name,Variable_Description,Data_File_Name,Data_File_Description,Component
P_DXXSPN_DXXL1BMD,DXXL1BMD,L1 BMD,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL1BMC,DXXL1BMC,L1 BMC,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL1A,DXXL1A,L1 area,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL2BMD,DXXL2BMD,L2 BMD,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL2BMC,DXXL2BMC,L2 BMC,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL2A,DXXL2A,L2 area,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL3BMD,DXXL3BMD,L3 BMD,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL3BMC,DXXL3BMC,L3 BMC,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL3A,DXXL3A,L3 area,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL4BMD,DXXL4BMD,L4 BMD,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL4BMC,DXXL4BMC,L4 BMC,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXXL4A,DXXL4A,L4 area,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXASPNK,DXASPNK,Calculated K for spine,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_DXXSPN_DXASPND0,DXASPND0,Calculated DO for spine,P_DXXSPN,Dual-Energy X-ray Absorptiometry - Spine,Examination
P_LUX_LUAXSTAT,LUAXSTAT,Elastography exam status.,P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUARXNC,LUARXNC,Reason for partial exam.,P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUARXND,LUARXND,Reason exam not done.,P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUARXIN,LUARXIN,Reason ineligible.,P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUAPNME,LUAPNME,Exam wand type.,P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUANMVGP,LUANMVGP,Total number of complete measures retained (using final wand).,P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUANMTGP,LUANMTGP,Total number of measures attempted (using final wand).,P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUXSMED,LUXSMED,"Median liver stiffness (E). This indicator is presented with one digit to the right of the decimal ratio (e.g. XX.X), and the units for this measure are kilopascals (kPa).",P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUXSIQR,LUXSIQR,"Stiffness (E) interquartile range (IQRe) of final stiffness measures. This indicator is presented with one digit to the right of the decimal (e.g., XX.X).",P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUXSIQRM,LUXSIQRM,"Ratio of the stiffness IQRe / median E stiffness value. This indicator is presented as a percent with one digit to the right of the decimal (e.g., XX.X%).",P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUXCAPM,LUXCAPM,"Median controlled attenuated parameter (CAP). This indicator is presented as a whole number (e.g., XXX), and the units for this measure are decibels per meter (dB/m).",P_LUX,Liver Ultrasound Transient Elastography,Examination
P_LUX_LUXCPIQR,LUXCPIQR,"Controlled attenuated parameter (CAP) interquartile range (IQRc) of final CAP measures. This indicator is presented as a whole number (e.g., XX).",P_LUX,Liver Ultrasound Transient Elastography,Examination
P_OHXDEN_OHDEXSTS,OHDEXSTS,Overall Oral Health Exam Status,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHDDESTS,OHDDESTS,Dentition Status Code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHXIMP,OHXIMP,Tooth Count: Ever had a tooth replaced with a surgical implant?,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX01TC,OHX01TC,Tooth Count: Upper right 3rd molar (3M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX02TC,OHX02TC,Tooth Count: Upper right 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX03TC,OHX03TC,Tooth Count: Upper right 1st molar (1M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX04TC,OHX04TC,Tooth Count: Upper right 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX05TC,OHX05TC,Tooth Count: Upper right 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX06TC,OHX06TC,Tooth Count: Upper right cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX07TC,OHX07TC,Tooth Count: Upper right lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX08TC,OHX08TC,Tooth Count: Upper right central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX09TC,OHX09TC,Tooth Count: Upper left central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX10TC,OHX10TC,Tooth Count: Upper left lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX11TC,OHX11TC,Tooth Count: Upper left cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX12TC,OHX12TC,Tooth Count: Upper left 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX13TC,OHX13TC,Tooth Count: Upper left 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX14TC,OHX14TC,Tooth Count: Upper left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX15TC,OHX15TC,Tooth Count: Upper left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX16TC,OHX16TC,Tooth Count: Upper left 3rd molar (3M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX17TC,OHX17TC,Tooth Count: Lower left 3rd molar (3M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX18TC,OHX18TC,Tooth Count: Lower left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX19TC,OHX19TC,Tooth Count: Lower left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX20TC,OHX20TC,Tooth Count: Lower left 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX21TC,OHX21TC,Tooth Count: Lower left 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX22TC,OHX22TC,Tooth Count: Lower left cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX23TC,OHX23TC,Tooth Count: Lower left lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX24TC,OHX24TC,Tooth Count: Lower left central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX25TC,OHX25TC,Tooth Count: Lower right central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX26TC,OHX26TC,Tooth Count: Lower right lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX27TC,OHX27TC,Tooth Count: Lower right cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX28TC,OHX28TC,Tooth Count: Lower right 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX29TC,OHX29TC,Tooth Count: Lower right 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX30TC,OHX30TC,Tooth Count: Lower right 1st molar (1M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX31TC,OHX31TC,Tooth Count: Lower right 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX32TC,OHX32TC,Tooth Count: Lower right 3rd molar (3M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX02CTC,OHX02CTC,Coronal Caries: Upper right 2nd molar (2M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX03CTC,OHX03CTC,Coronal Caries: Upper right 1st molar (1M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX04CTC,OHX04CTC,Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX05CTC,OHX05CTC,Coronal Caries: Upper right 1st bicuspid/1st primary molar (1B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX06CTC,OHX06CTC,Coronal Caries: Upper right cuspid (C) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX07CTC,OHX07CTC,Coronal Caries: Upper right lateral incisor (LI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX08CTC,OHX08CTC,Coronal Caries: Upper right central incisor (CI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX09CTC,OHX09CTC,Coronal Caries: Upper left central incisor (CI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX10CTC,OHX10CTC,Coronal Caries: Upper left lateral incisor (LI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX11CTC,OHX11CTC,Coronal Caries: Upper left cuspid (C) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX12CTC,OHX12CTC,Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX13CTC,OHX13CTC,Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX14CTC,OHX14CTC,Coronal Caries: Upper left 1st molar (1M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX15CTC,OHX15CTC,Coronal Caries: Upper left 2nd molar (2M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX18CTC,OHX18CTC,Coronal Caries: Lower left 2nd molar (2M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX19CTC,OHX19CTC,Coronal Caries: Lower left 1st molar (1M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX20CTC,OHX20CTC,Coronal Caries: Lower left 2nd bicuspid/2nd primary molar (2B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX21CTC,OHX21CTC,Coronal Caries: Lower left 1st bicuspid/1st primary molar (1B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX22CTC,OHX22CTC,Coronal Caries: Lower left cuspid (C) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX23CTC,OHX23CTC,Coronal Caries: Lower left lateral incisor (LI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX24CTC,OHX24CTC,Coronal Caries: Lower left central incisor (CI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX25CTC,OHX25CTC,Coronal Caries: Lower right central incisor (CI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX26CTC,OHX26CTC,Coronal Caries: Lower right lateral incisor (LI) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX27CTC,OHX27CTC,Coronal Caries: Lower right cuspid (C) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX28CTC,OHX28CTC,Coronal Caries: Lower right 1st bicuspid/1st primary molar (1B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX29CTC,OHX29CTC,Coronal Caries: Lower right 2nd bicuspid/2nd primary molar (2B) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX30CTC,OHX30CTC,Coronal Caries: Lower right 1st molar (1M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX31CTC,OHX31CTC,Coronal Caries: Lower right 2nd molar (2M) tooth code,P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX02CSC,OHX02CSC,"Coronal Caries: Upper right 2nd molar (2M) surface calls. These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX03CSC,OHX03CSC,"Coronal Caries: Upper right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX04CSC,OHX04CSC,"Coronal Caries: Upper right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX05CSC,OHX05CSC,"Coronal Caries: Upper right 1st biscuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX06CSC,OHX06CSC,"Coronal Caries: Upper right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX07CSC,OHX07CSC,"Coronal Caries: Upper right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX08CSC,OHX08CSC,"Coronal Caries: Upper right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX09CSC,OHX09CSC,"Coronal Caries: Upper left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX10CSC,OHX10CSC,"Coronal Caries: Upper left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX11CSC,OHX11CSC,"Coronal Caries: Upper left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX12CSC,OHX12CSC,"Coronal Caries: Upper left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX13CSC,OHX13CSC,"Coronal Caries: Upper left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX14CSC,OHX14CSC,"Coronal Caries: Upper left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX15CSC,OHX15CSC,"Coronal Caries: Upper left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX18CSC,OHX18CSC,"Coronal Caries: Lower left 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX19CSC,OHX19CSC,"Coronal Caries: Lower left 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX20CSC,OHX20CSC,"Coronal Caries: Lower left 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX21CSC,OHX21CSC,"Coronal Caries: Lower left 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX22CSC,OHX22CSC,"Coronal Caries: Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX23CSC,OHX23CSC,"Coronal Caries: Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX24CSC,OHX24CSC,"Coronal Caries: Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX25CSC,OHX25CSC,"Coronal Caries: Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX26CSC,OHX26CSC,"Coronal Caries: Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX27CSC,OHX27CSC,"Coronal Caries: Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX28CSC,OHX28CSC,"Coronal Caries: Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX29CSC,OHX29CSC,"Coronal Caries: Lower right 2nd bicuspid/2nd primary molar (2B) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX30CSC,OHX30CSC,"Coronal Caries: Lower right 1st molar (1M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX31CSC,OHX31CSC,"Coronal Caries: Lower right 2nd molar (2M) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", ""468"".",P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX02RTC,OHX02RTC,Coronal Caries: Second restoration present - Upper right 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX03RTC,OHX03RTC,Coronal Caries: Second restoration present - Upper right 1st molar (1M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX04RTC,OHX04RTC,Coronal Caries: Second restoration present - Upper right 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX05RTC,OHX05RTC,Coronal Caries: Second restoration present - Upper right 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX06RTC,OHX06RTC,Coronal Caries: Second restoration present - Upper right cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX07RTC,OHX07RTC,Coronal Caries: Second restoration present - Upper right lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX08RTC,OHX08RTC,Coronal Caries: Second restoration present - Upper right central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX09RTC,OHX09RTC,Coronal Caries: Second restoration present - Upper left central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX10RTC,OHX10RTC,Coronal Caries: Second restoration present - Upper left lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX11RTC,OHX11RTC,Coronal Caries: Second restoration present - Upper left cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX12RTC,OHX12RTC,Coronal Caries: Second restoration present - Upper left 1st bicuspid/1st primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX13RTC,OHX13RTC,Coronal Caries: Second restoration present - Upper left 2nd bicuspid/1st primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX14RTC,OHX14RTC,Coronal Caries: Second restoration present - Upper left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX15RTC,OHX15RTC,Coronal Caries: Second restoration present - Upper left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX18RTC,OHX18RTC,Coronal Caries: Second restoration present - Lower left 2nd molar (2M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX19RTC,OHX19RTC,Coronal Caries: Second restoration present - Lower left 1st molar (1M),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX20RTC,OHX20RTC,Coronal Caries: Second restoration present - Lower left 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX21RTC,OHX21RTC,Coronal Caries: Second restoration present - Lower left 1st bicuspid/2nd primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX22RTC,OHX22RTC,Coronal Caries: Second restoration present - Lower left cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX23RTC,OHX23RTC,Coronal Caries: Second restoration present - Lower left lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX24RTC,OHX24RTC,Coronal Caries: Second restoration present - Lower left central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX25RTC,OHX25RTC,Coronal Caries: Second restoration present - Lower right central incisor (CI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX26RTC,OHX26RTC,Coronal Caries: Second restoration present - Lower right lateral incisor (LI),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX27RTC,OHX27RTC,Coronal Caries: Second restoration present - Lower right cuspid (C),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX28RTC,OHX28RTC,Coronal Caries: Second restoration present - Lower right1st bicuspid/2nd primary molar (1B),P_OHXDEN,Oral Health - Dentition,Examination
P_OHXDEN_OHX29RTC,OHX29RTC,Coronal Caries: Second restoration present - Lower right 2nd bicuspid/2nd primary molar (2B),P_OHXDEN,Oral Health - Dentition,Examination
